n,b,qasm
3,"[(0.7071067811865475+0j), (0.5569049799398816-0.4357256514346612j), 0j, 0j, 0j, 0j, 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
qubit[3] q;
cx q[2], q[1];
u2(5.619265024242634, 0.8299719209085693) q[0];
cz q[2], q[0];
ch q[1], q[2];
"
3,"[(-0.14661194697889596-0.10236843169848271j), (0.019716238273692684+0.2946162196982729j), (0.2842124210508803-0.14633031943654018j), (-0.48221510897431935-0.2147499016171301j), (0.10236843169848271-0.14661194697889596j), (-0.2946162196982729+0.019716238273692684j), (0.14633031943654018+0.2842124210508803j), (0.2147499016171301-0.48221510897431935j)]","OPENQASM 3.0;
include ""stdgates.inc"";
gate sxdg _gate_q_0 {
  s _gate_q_0;
  h _gate_q_0;
  s _gate_q_0;
}
qubit[3] q;
rx(1.357568318641875) q[0];
tdg q[2];
t q[1];
sdg q[2];
tdg q[0];
U(2.7279199610467404, 4.66868035757739, 1.448580869421755) q[1];
U(1.2036841030574765, 4.783125984198747, 0.5893336408198918) q[1];
sxdg q[2];
ry(5.290150760820485) q[0];
"
3,"[(-0.28903507005975354+0.12661143352696386j), (0.37780445820927305+0.08727448082964473j), (0.3596795238627418+0.040351731160830046j), (0.21518701730993375+0.20111711001720434j), (0.07425524143234377+0j), (-0.07319409232370229-0.054484034053172176j), (0.5320385368548259+0.1698577326000712j), (0.2647713322993893+0.3694101036063618j)]","OPENQASM 3.0;
include ""stdgates.inc"";
gate sxdg _gate_q_0 {
  s _gate_q_0;
  h _gate_q_0;
  s _gate_q_0;
}
gate xx_minus_yy(p0, p1) _gate_q_0, _gate_q_1 {
  rz(-p1) _gate_q_1;
  rz(-pi/2) _gate_q_0;
  sx _gate_q_0;
  rz(pi/2) _gate_q_0;
  s _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  ry(p0/2) _gate_q_0;
  ry(-p0/2) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  sdg _gate_q_1;
  rz(-pi/2) _gate_q_0;
  sxdg _gate_q_0;
  rz(pi/2) _gate_q_0;
  rz(p1) _gate_q_1;
}
gate r(p0, p1) _gate_q_0 {
  u3(p0, p1 - pi/2, pi/2 - p1) _gate_q_0;
}
qubit[3] q;
xx_minus_yy(2.062888678228993, 0.4988744049118033) q[1], q[0];
U(2.6793620081583898, 2.7287217657987743, 5.712992154316149) q[2];
t q[1];
x q[2];
sdg q[0];
ch q[1], q[2];
r(1.775407449323726, 5.3522819548376) q[0];
"
3,"[0j, 0j, 0j, 0j, (-0.6853958016841021-0.1738752283501218j), 0j, (0.1738752283501218-0.6853958016841021j), 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate rzz(p0) _gate_q_0, _gate_q_1 {
  cx _gate_q_0, _gate_q_1;
  rz(p0) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
}
gate sxdg _gate_q_0 {
  s _gate_q_0;
  h _gate_q_0;
  s _gate_q_0;
}
gate cu1(p0) _gate_q_0, _gate_q_1 {
  u1(p0/2) _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  u1(-p0/2) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  u1(p0/2) _gate_q_1;
}
gate csx _gate_q_0, _gate_q_1 {
  h _gate_q_1;
  cu1(pi/2) _gate_q_0, _gate_q_1;
  h _gate_q_1;
}
qubit[3] q;
swap q[1], q[0];
y q[2];
rzz(5.209278369966258) q[2], q[0];
t q[1];
sxdg q[1];
csx q[0], q[2];
"
3,"[(0.21480799226105787+0.21480799226105787j), -0.30378437596172286j, 0.6385256869708114j, (0.4515058432188594-0.4515058432188594j), 0j, 0j, 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
qubit[3] q;
ch q[2], q[0];
p(0.7960435982978757) q[1];
sx q[0];
ry(2.25345770741332) q[1];
sdg q[2];
z q[2];
tdg q[0];
t q[1];
"
3,"[0j, 0j, 0j, 0j, (-0.12487950735381881+0j), -0.9921719148630783j, 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
qubit[3] q;
p(5.4357586282067905) q[1];
cu(5.502959718157584, 1.8375734332003375, 1.8441514267316315, 3.094750306140056) q[0], q[2];
id q[1];
rx(3.392005427439407) q[0];
x q[2];
cry(3.362795164406587) q[1], q[0];
"
3,"[(-0.41211472007657024-0.5745967781811955j), 0j, (0.4673525206131524+0.5306426495076821j), 0j, 0j, 0j, 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate dcx _gate_q_0, _gate_q_1 {
  cx _gate_q_0, _gate_q_1;
  cx _gate_q_1, _gate_q_0;
}
qubit[3] q;
sdg q[1];
cu(4.058056518987095, 3.737454534111854, 4.954427729429834, 1.2370337421181772) q[2], q[0];
dcx q[2], q[0];
u2(4.938927058502156, 3.566147140366459) q[1];
cp(3.535296419836496) q[0], q[2];
rz(4.385977740460725) q[1];
"
3,"[(0.6523230116108109+0j), (-0.2728877168067827+0.002642449428662324j), 0j, 0j, (-0.033717285949356114+0.651451038916362j), (0.011466108999566724-0.27265952553947553j), 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate iswap _gate_q_0, _gate_q_1 {
  s _gate_q_0;
  s _gate_q_1;
  h _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  cx _gate_q_1, _gate_q_0;
  h _gate_q_1;
}
gate cu1(p0) _gate_q_0, _gate_q_1 {
  u1(p0/2) _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  u1(-p0/2) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  u1(p0/2) _gate_q_1;
}
gate r(p0, p1) _gate_q_0 {
  u3(p0, p1 - pi/2, pi/2 - p1) _gate_q_0;
}
qubit[3] q;
iswap q[1], q[0];
u2(1.6225073915602743, 0.7856927094527719) q[2];
cu1(3.8272407063812537) q[0], q[2];
cz q[2], q[1];
r(0.7924522378965739, 4.702705998411042) q[0];
"
3,"[(0.08910647687338334+0.4919959713038443j), (0.5+0j), (-0.4919959713038443+0.08910647687338334j), -0.5j, 0j, 0j, 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate cu3(p0, p1, p2) _gate_q_0, _gate_q_1 {
  u1(p1/2 + p2/2) _gate_q_0;
  u1(-p1/2 + p2/2) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  u3(-p0/2, 0, -p1/2 - p2/2) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  u3(p0/2, p1, 0) _gate_q_1;
}
gate cs _gate_q_0, _gate_q_1 {
  p(pi/4) _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  p(-pi/4) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  p(pi/4) _gate_q_1;
}
gate rzx(p0) _gate_q_0, _gate_q_1 {
  h _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  rz(p0) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  h _gate_q_1;
}
gate ecr _gate_q_0, _gate_q_1 {
  rzx(pi/4) _gate_q_0, _gate_q_1;
  x _gate_q_0;
  rzx(-pi/4) _gate_q_0, _gate_q_1;
}
qubit[3] q;
cu3(5.228682585986899, 2.1750841397450325, 0.7436781599397326) q[2], q[1];
u2(1.3916262941127882, 0.6007750032962965) q[0];
cs q[0], q[1];
ecr q[0], q[1];
"
3,"[(1+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate cs _gate_q_0, _gate_q_1 {
  p(pi/4) _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  p(-pi/4) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  p(pi/4) _gate_q_1;
}
qubit[3] q;
cs q[1], q[2];
u1(6.27371264768235) q[0];
ch q[2], q[0];
crz(1.4393443023969978) q[0], q[1];
"
3,"[0j, 0j, 0j, 0j, (0.14292972445569185-0.47913577811202945j), (-0.14292972445569185+0.47913577811202945j), (-0.47913577811202945-0.14292972445569185j), (0.47913577811202945+0.14292972445569185j)]","OPENQASM 3.0;
include ""stdgates.inc"";
gate rzz(p0) _gate_q_0, _gate_q_1 {
  cx _gate_q_0, _gate_q_1;
  rz(p0) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
}
gate sxdg _gate_q_0 {
  s _gate_q_0;
  h _gate_q_0;
  s _gate_q_0;
}
qubit[3] q;
y q[2];
h q[0];
rzz(5.292195345224037) q[2], q[1];
sxdg q[0];
sx q[1];
cz q[0], q[2];
"
3,"[(0.00793882708888486+0j), 0j, 0j, 0j, (0.9999684870156923+0j), 0j, 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate sxdg _gate_q_0 {
  s _gate_q_0;
  h _gate_q_0;
  s _gate_q_0;
}
gate xx_plus_yy(p0, p1) _gate_q_0, _gate_q_1 {
  rz(p1) _gate_q_0;
  rz(-pi/2) _gate_q_1;
  sx _gate_q_1;
  rz(pi/2) _gate_q_1;
  s _gate_q_0;
  cx _gate_q_1, _gate_q_0;
  ry(-p0/2) _gate_q_1;
  ry(-p0/2) _gate_q_0;
  cx _gate_q_1, _gate_q_0;
  sdg _gate_q_0;
  rz(-pi/2) _gate_q_1;
  sxdg _gate_q_1;
  rz(pi/2) _gate_q_1;
  rz(-p1) _gate_q_0;
}
gate cu1(p0) _gate_q_0, _gate_q_1 {
  u1(p0/2) _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  u1(-p0/2) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  u1(p0/2) _gate_q_1;
}
gate csx _gate_q_0, _gate_q_1 {
  h _gate_q_1;
  cu1(pi/2) _gate_q_0, _gate_q_1;
  h _gate_q_1;
}
qubit[3] q;
xx_plus_yy(4.714063698450232, 5.064504121145506) q[0], q[1];
u1(0.31181160423390125) q[2];
cy q[1], q[0];
ry(3.125714832625832) q[2];
csx q[1], q[2];
id q[0];
"
3,"[(0.16338082261058418+0.21100233030952636j), (-0.5541345870280956+0.42907092321121687j), (-0.04199505703550957+0.05248008027293424j), (0.01998326668582174+0.01599079917298993j), (-0.16471494274660656-0.16471494274660656j), (0.43257459120168956-0.43257459120168956j), (0.030583828236692888-0.050068905880559574j), (-0.019065144216148293-0.011645652841015139j)]","OPENQASM 3.0;
include ""stdgates.inc"";
gate r(p0, p1) _gate_q_0 {
  u3(p0, p1 - pi/2, pi/2 - p1) _gate_q_0;
}
gate dcx _gate_q_0, _gate_q_1 {
  cx _gate_q_0, _gate_q_1;
  cx _gate_q_1, _gate_q_0;
}
qubit[3] q;
r(4.576864390730269, 2.4827149716770047) q[2];
r(6.0919579900968035, 6.046135314928386) q[0];
s q[1];
sdg q[0];
rx(3.869246208890307) q[1];
x q[2];
t q[2];
dcx q[1], q[0];
"
3,"[(0.5+0.5j), 0j, 0j, 0j, (0.4957517910002482-0.4957517910002482j), 0j, (0.08791912066071739-0.027028719213804717j), 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate cu3(p0, p1, p2) _gate_q_0, _gate_q_1 {
  u1(p1/2 + p2/2) _gate_q_0;
  u1(-p1/2 + p2/2) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  u3(-p0/2, 0, -p1/2 - p2/2) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  u3(p0/2, p1, 0) _gate_q_1;
}
qubit[3] q;
id q[2];
swap q[0], q[1];
sx q[2];
cu3(3.796701566281308, 2.5131720275560565, 0.6953660796462383) q[1], q[0];
cu3(0.2608980928091586, 0.4871415319588593, 1.3678350062910918) q[2], q[1];
p(2.3906011933848297) q[0];
"
3,"[(-0.10868214863498937+0j), (0.12311335787033759+0.029705616876178405j), (-0.6421007503722105+0j), (0.7273612130625133+0.17550259289153242j), 0j, 0j, 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate cu3(p0, p1, p2) _gate_q_0, _gate_q_1 {
  u1(p1/2 + p2/2) _gate_q_0;
  u1(-p1/2 + p2/2) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  u3(-p0/2, 0, -p1/2 - p2/2) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  u3(p0/2, p1, 0) _gate_q_1;
}
gate csdg _gate_q_0, _gate_q_1 {
  p(-pi/4) _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  p(pi/4) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  p(-pi/4) _gate_q_1;
}
gate r(p0, p1) _gate_q_0 {
  u3(p0, p1 - pi/2, pi/2 - p1) _gate_q_0;
}
qubit[3] q;
cu3(0.6475571089818304, 5.538707228640326, 2.657132172292476) q[0], q[2];
ry(0.33534224106243227) q[1];
x q[1];
csdg q[2], q[0];
crz(0.8011246683402649) q[2], q[1];
r(4.5600103444908795, 1.8075575822243044) q[0];
"
3,"[(0.039536838157870846-0.11931925547503969j), (-0.001761842901842489+0.0006503665502357876j), (-0.27825183961901573+0.8397434869558886j), (0.012399474803722587-0.004577141153958331j), (0.013276788440519827+0.061718017753922425j), (0.0005969757233210118-0.0007302549951172969j), (-0.09343920707710103-0.43435825366448066j), (-0.004201387894466604+0.0051393790006931004j)]","OPENQASM 3.0;
include ""stdgates.inc"";
gate sxdg _gate_q_0 {
  s _gate_q_0;
  h _gate_q_0;
  s _gate_q_0;
}
qubit[3] q;
x q[0];
h q[1];
t q[2];
rz(1.853086916206147) q[1];
ry(3.111713202615083) q[0];
sxdg q[2];
u2(1.038937804635757, 0.6399350717090597) q[2];
sxdg q[1];
p(0.8972055956156864) q[0];
"
3,"[(-0.0250811118776772-0.008151566856101399j), (-0.5624667854782583-0.7034694829817802j), (-0.011397713319093837-0.003704350213036697j), (-0.2556041057374031-0.3196805442622205j), (-0.0011761473023050543+0.003618823545765488j), (-0.10149996304620384+0.08115541515571176j), (-0.0005344814790539538+0.0016445169388097144j), (-0.046125047659027016+0.03687979068663641j)]","OPENQASM 3.0;
include ""stdgates.inc"";
gate rzx(p0) _gate_q_0, _gate_q_1 {
  h _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  rz(p0) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  h _gate_q_1;
}
qubit[3] q;
z q[1];
p(0.7869520733392613) q[2];
s q[0];
rz(5.654706688015149) q[0];
rzx(5.430114848711879) q[2], q[1];
rx(0.28659178235839383) q[2];
sdg q[1];
u3(3.200136801462203, 3.7236764495876877, 3.8729929315198848) q[0];
"
3,"[0j, 0.7071067811865475j, 0j, 0j, 0j, 0.7071067811865475j, 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
qubit[3] q;
ch q[0], q[1];
h q[2];
cu(1.1443302085561395, 5.549814902316448, 2.398016957188239, 1.2517071228413723) q[1], q[0];
cry(5.646979006263728) q[1], q[2];
y q[0];
"
3,"[(0.10908313755478287+0j), -0.24492529051398731j, (-0.8451545573372475+0j), -0.37640911087458995j, (-0.030416716911978704+0j), 0.0682949115064343j, 0.23566270180380042j, (-0.10495782964449586+0j)]","OPENQASM 3.0;
include ""stdgates.inc"";
gate ryy(p0) _gate_q_0, _gate_q_1 {
  rx(pi/2) _gate_q_0;
  rx(pi/2) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  rz(p0) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  rx(-pi/2) _gate_q_0;
  rx(-pi/2) _gate_q_1;
}
gate cs _gate_q_0, _gate_q_1 {
  p(pi/4) _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  p(-pi/4) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  p(pi/4) _gate_q_1;
}
qubit[3] q;
sdg q[0];
cx q[2], q[1];
ryy(3.7057374161783327) q[1], q[0];
ry(5.739320311721397) q[2];
cs q[1], q[2];
rx(2.3035935673417143) q[0];
"
3,"[(-0.9881595155618625+0j), 0j, (0.15046939253149164+0.029995561600826278j), 0j, 0j, 0j, 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate cu1(p0) _gate_q_0, _gate_q_1 {
  u1(p0/2) _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  u1(-p0/2) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  u1(p0/2) _gate_q_1;
}
gate csx _gate_q_0, _gate_q_1 {
  h _gate_q_1;
  cu1(pi/2) _gate_q_0, _gate_q_1;
  h _gate_q_1;
}
qubit[3] q;
u3(5.9751083729366155, 0.1967672104409949, 5.561040511693419) q[1];
z q[2];
csx q[2], q[0];
u1(2.0801532355735) q[0];
crz(6.101615841488043) q[2], q[1];
"
3,"[(0.12725613543410919-0.0702350317776179j), 0j, (0.0702350317776179+0.12725613543410919j), 0j, (-0.24531446899416803+0.6470654739728292j), 0j, (-0.6470654739728292-0.24531446899416803j), 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate cu1(p0) _gate_q_0, _gate_q_1 {
  u1(p0/2) _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  u1(-p0/2) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  u1(p0/2) _gate_q_1;
}
gate r(p0, p1) _gate_q_0 {
  u3(p0, p1 - pi/2, pi/2 - p1) _gate_q_0;
}
gate sxdg _gate_q_0 {
  s _gate_q_0;
  h _gate_q_0;
  s _gate_q_0;
}
qubit[3] q;
cu1(1.3660386753564064) q[2], q[1];
rz(5.721019086353234) q[0];
p(5.707538883589087) q[1];
r(3.5556607301104624, 4.00828418756984) q[2];
z q[0];
sxdg q[1];
t q[0];
z q[2];
"
3,"[(-0.20174994458872716+0j), (0.6925133303845059-0.21444470589178719j), 0j, 0j, (0.1795524867271683+0.15653965205320078j), (0.5614477364590887+0.2485324853682291j), 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate sxdg _gate_q_0 {
  s _gate_q_0;
  h _gate_q_0;
  s _gate_q_0;
}
gate xx_minus_yy(p0, p1) _gate_q_0, _gate_q_1 {
  rz(-p1) _gate_q_1;
  rz(-pi/2) _gate_q_0;
  sx _gate_q_0;
  rz(pi/2) _gate_q_0;
  s _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  ry(p0/2) _gate_q_0;
  ry(-p0/2) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  sdg _gate_q_1;
  rz(-pi/2) _gate_q_0;
  sxdg _gate_q_0;
  rz(pi/2) _gate_q_0;
  rz(p1) _gate_q_1;
}
gate csdg _gate_q_0, _gate_q_1 {
  p(-pi/4) _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  p(pi/4) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  p(-pi/4) _gate_q_1;
}
qubit[3] q;
id q[2];
cp(4.990362100738373) q[0], q[1];
xx_minus_yy(3.7765341410685296, 5.491042741358515) q[2], q[0];
csdg q[1], q[0];
u3(1.7361589370546109, 3.8586257215572974, 5.204234742093942) q[2];
"
3,"[(0.9791667186629245-0.203057964785628j), 0j, 0j, 0j, 0j, 0j, 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate cu3(p0, p1, p2) _gate_q_0, _gate_q_1 {
  u1(p1/2 + p2/2) _gate_q_0;
  u1(-p1/2 + p2/2) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  u3(-p0/2, 0, -p1/2 - p2/2) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  u3(p0/2, p1, 0) _gate_q_1;
}
qubit[3] q;
cu3(1.8873975836290355, 5.891144518677698, 1.4140199162756986) q[1], q[0];
p(1.326414416091183) q[2];
rz(0.40895988580521847) q[0];
crx(0.9299804400774946) q[2], q[1];
cry(1.90181483196087) q[1], q[2];
z q[0];
"
3,"[(0.5604282640354388-0.2328370435256788j), (0.32030799324570025-0.1330760258734129j), (-0.1360906978785144+0.15140924434531108j), (-0.07778147737052274+0.08653666191972736j), (0.36104738800724223-0.4016873529432857j), (0.20635355448790949-0.22958097974392153j), (0.2112439421993473-0.08776398001456817j), (0.12073467302303106-0.05016075405494616j)]","OPENQASM 3.0;
include ""stdgates.inc"";
gate sxdg _gate_q_0 {
  s _gate_q_0;
  h _gate_q_0;
  s _gate_q_0;
}
qubit[3] q;
ry(1.0384624348798854) q[0];
rx(2.4206639885591) q[1];
x q[2];
sx q[0];
y q[1];
u3(1.6870960183993562, 2.696727736848987, 5.889420485123336) q[2];
cy q[1], q[2];
sxdg q[0];
"
3,"[(0.49262028689316556-0.5072723656393031j), 0j, (0.5072723656393031+0.49262028689316556j), 0j, 0j, 0j, 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
qubit[3] q;
z q[1];
sdg q[0];
sdg q[2];
rz(6.016580152749637) q[2];
rz(3.100542029504392) q[0];
sx q[1];
rz(5.0493499650130405) q[2];
h q[1];
tdg q[0];
"
3,"[(-0.3847037335525336+0j), 0j, 0j, 0.6319432324254967j, 0j, (0.5746818212080439+0j), 0.3498450982297191j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate rxx(p0) _gate_q_0, _gate_q_1 {
  h _gate_q_0;
  h _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  rz(p0) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  h _gate_q_1;
  h _gate_q_0;
}
qubit[3] q;
rxx(4.23526878826413) q[1], q[0];
id q[2];
cz q[0], q[1];
rxx(1.4759557900256086) q[1], q[2];
"
3,"[(1+0j), 0j, 0j, 0j, 0j, 0j, 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate dcx _gate_q_0, _gate_q_1 {
  cx _gate_q_0, _gate_q_1;
  cx _gate_q_1, _gate_q_0;
}
qubit[3] q;
ch q[1], q[2];
u1(0.8010089363891684) q[0];
crx(4.104048036825745) q[2], q[1];
dcx q[2], q[0];
"
3,"[(0.21596152210624164-0.010172917625790881j), (0.13167672665247315+0.17147625766139077j), (-0.23815952339716986+0.6297119771226898j), (-0.6529404184284947+0.16409126332305585j), 0j, 0j, 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate cu1(p0) _gate_q_0, _gate_q_1 {
  u1(p0/2) _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  u1(-p0/2) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  u1(p0/2) _gate_q_1;
}
gate iswap _gate_q_0, _gate_q_1 {
  s _gate_q_0;
  s _gate_q_1;
  h _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  cx _gate_q_1, _gate_q_0;
  h _gate_q_1;
}
gate rzz(p0) _gate_q_0, _gate_q_1 {
  cx _gate_q_0, _gate_q_1;
  rz(p0) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
}
qubit[3] q;
cu1(4.516847493676779) q[2], q[0];
u3(4.905860604606152, 0.46109276294622137, 4.809328634264742) q[1];
iswap q[0], q[2];
U(1.5801219717925585, 2.5983160795210973, 3.2780885916552065) q[1];
u2(0.9630073380047197, 0.1286977408740819) q[0];
rzz(4.416312869218294) q[2], q[1];
"
3,"[0j, (-0.04747874060999606-0.003270105515182524j), 0j, (0.023837547883236925+0.04747874060999606j), (-0.45510608254643325-0.11978340462340231j), (0.11978340462340231-0.45510608254643325j), (0.14351750938369182+0.505360685210942j), (-0.505360685210942+0.14351750938369182j)]","OPENQASM 3.0;
include ""stdgates.inc"";
gate cu1(p0) _gate_q_0, _gate_q_1 {
  u1(p0/2) _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  u1(-p0/2) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  u1(p0/2) _gate_q_1;
}
gate csx _gate_q_0, _gate_q_1 {
  h _gate_q_1;
  cu1(pi/2) _gate_q_0, _gate_q_1;
  h _gate_q_1;
}
qubit[3] q;
u3(3.2843656838434785, 4.900984460134632, 3.3705217749975276) q[2];
u3(2.5974267082385243, 4.4990875176948295, 3.1042297615801613) q[1];
x q[0];
s q[0];
tdg q[2];
sx q[1];
csx q[2], q[0];
h q[1];
"
3,"[(-0.36786368619214677-0.33812359851713686j), (-0.09668075483424006-0.055420615387657614j), (0.47461546695414986-0.037357391704073026j), (0.1013977926463982-0.031515059909250805j), (0.33812359851713686-0.36786368619214677j), (0.055420615387657614-0.09668075483424006j), (0.037357391704073026+0.47461546695414986j), (0.031515059909250805+0.1013977926463982j)]","OPENQASM 3.0;
include ""stdgates.inc"";
gate sxdg _gate_q_0 {
  s _gate_q_0;
  h _gate_q_0;
  s _gate_q_0;
}
qubit[3] q;
sx q[2];
U(4.618360924240228, 3.2542233791936344, 0.5132861455139125) q[0];
u1(1.5199263909988636) q[1];
rz(5.029092272073196) q[0];
ry(5.95656772540795) q[1];
z q[2];
sxdg q[0];
u3(1.7809669845601017, 2.1188340831951398, 5.612817249048129) q[1];
"
3,"[(-0.38543312080979725+0j), 0j, (0.8882422955526063+0j), 0j, (0.021117074846196415-0.09722341784423391j), 0j, (-0.04866493828380127+0.2240543097749202j), 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate r(p0, p1) _gate_q_0 {
  u3(p0, p1 - pi/2, pi/2 - p1) _gate_q_0;
}
qubit[3] q;
p(5.887415812745196) q[2];
sdg q[0];
ry(5.531205575245022) q[1];
t q[2];
z q[0];
h q[1];
z q[1];
r(0.5052238908119508, 3.3554721169257875) q[2];
z q[0];
"
3,"[(0.4134218668703262-0.7179895563656051j), (0.2941631540407126-0.3968981161667918j), 0j, 0j, (-0.1752407550721315-0.1434263490724579j), (-0.09395258915396995-0.09698325771084176j), 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate sxdg _gate_q_0 {
  s _gate_q_0;
  h _gate_q_0;
  s _gate_q_0;
}
gate r(p0, p1) _gate_q_0 {
  u3(p0, p1 - pi/2, pi/2 - p1) _gate_q_0;
}
gate rzz(p0) _gate_q_0, _gate_q_1 {
  cx _gate_q_0, _gate_q_1;
  rz(p0) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
}
qubit[3] q;
cry(3.971852468221426) q[1], q[0];
sxdg q[2];
crz(2.750781146230124) q[1], q[0];
u3(5.131276462574263, 5.334893276484751, 4.371495456117107) q[2];
r(5.207823722476921, 4.827766493536681) q[0];
rzz(0.25816294148190067) q[2], q[1];
"
3,"[0j, (0.6935204492667042-0.13794704218977927j), 0j, (-0.13794704218977927-0.6935204492667042j), 0j, 0j, 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate cu1(p0) _gate_q_0, _gate_q_1 {
  u1(p0/2) _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  u1(-p0/2) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  u1(p0/2) _gate_q_1;
}
gate rzz(p0) _gate_q_0, _gate_q_1 {
  cx _gate_q_0, _gate_q_1;
  rz(p0) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
}
gate rzx(p0) _gate_q_0, _gate_q_1 {
  h _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  rz(p0) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  h _gate_q_1;
}
gate ecr _gate_q_0, _gate_q_1 {
  rzx(pi/4) _gate_q_0, _gate_q_1;
  x _gate_q_0;
  rzx(-pi/4) _gate_q_0, _gate_q_1;
}
qubit[3] q;
cu1(3.9064324171918083) q[1], q[2];
sdg q[0];
sdg q[0];
rzz(0.39269144687641955) q[2], q[1];
ecr q[0], q[1];
"
